    68 Leto               E. Bowell        6.78  0.05 0.84 122.6 S       0   0   0   0   0   0 53427 1297 20101031 321.719305 305.585913  44.153400  7.973590 0.18647838   2.78111877 20100708 2.9E-02 -1.4E-04 20100919 4.8E-02 20111110 5.3E-02 20150803 5.7E-02 20200929
    69 Hesperia           E. Bowell        7.05  0.19 0.70 138.1 M       0   0   0   0   0   0 54450 1132 20101031  65.419246 289.805582 185.057893  8.583937 0.16896598   2.97860641 20100816 2.4E-02 -2.6E-05 20100919 4.6E-02 20110526 6.7E-02 20200116 6.7E-02 20200116
    70 Panopaea           E. Bowell        8.11  0.14 0.74 122.2 C       0   0   0   0   0   0 52539  929 20101031  67.385448 255.930134  47.740448 11.589242 0.18235402   2.61576309 20100807 5.2E-02  2.7E-04 20100919 5.8E-02 20101022 9.2E-02 20180813 9.2E-02 20180813
    71 Niobe              E. Bowell        7.30  0.40 0.82  83.4 S       0   0   0   0   0   0 53415 1085 20101031 316.082478 267.106523 316.076579 23.260934 0.17572378   2.75553068 20100708 1.9E-02  5.5E-05 20100919 6.5E-02 20110423 6.7E-02 20160629 6.7E-02 20160629
    72 Feronia            E. Bowell        8.94  0.15 0.78  86.1         0   0   0   0   0   0 52882 1300 20101031 191.694287 102.418816 208.081892  5.417651 0.12040838   2.26632535 20100630 1.9E-02  3.2E-05 20100919 4.2E-02 20110316 6.3E-02 20150616 6.3E-02 20150616
    73 Klytia             E. Bowell        9.0   0.15 0.82  44.4         0   0   0   0   0   0 53251 1210 20101031 171.146688  55.313767   7.179878  2.372688 0.04284717   2.66451329 20100903 2.1E-02 -1.5E-05 20100919 5.2E-02 20110702 5.6E-02 20180104 5.7E-02 20200731
    74 Galatea            E. Bowell        8.66  0.15 0.69 118.7         0   0   0   0   0   0 52671 1391 20101031 335.100241 174.415463 197.289785  4.077786 0.24117697   2.77765998 20100908 3.4E-02 -2.1E-04 20100919 4.2E-02 20111227 5.9E-02 20150917 5.9E-02 20150917
    75 Eurydike           E. Bowell        8.96  0.23 0.71  55.7 M       0   0   0   0   0   0 53096 1477 20101031 341.879597 339.713941 359.457197  5.004228 0.30570941   2.67205573 20100811 3.1E-02 -1.4E-04 20100919 4.3E-02 20111210 7.5E-02 20190714 7.5E-02 20190714
    76 Freia              E. Bowell        7.90  0.15 0.70 183.7 CP      0   0   0   0   0   9 53377 1431 20101031 158.165067 253.576254 204.522307  2.117767 0.16358047   3.41441637 20100817 2.9E-02 -1.0E-04 20100919 4.0E-02 20110731 5.8E-02 20191219 5.8E-02 20191219
    77 Frigga             E. Bowell        8.52  0.16 0.75  69.2 M?      0   0   0   0   0   9 47886 1369 20101031 304.114610  60.577933   1.330151  2.432102 0.13226369   2.67061236 20100908 4.1E-02 -1.4E-04 20100919 4.3E-02 20120120 4.9E-02 20151203 4.9E-02 20151203
